text,intent
please send me your whatsapp number for apartment in giga mall.,lead_capture
I want to lodge a formal complaint against the agent for Emaar Plot!,escalation
Get a human online right now token payment stuck for Blue Area Sector!,escalation
Can you share the broker number for Clifton Luxury Villa?,lead_capture
"My payment of PKR PKR for Token Money is stuck, fix it now!",escalation
What is the current market rate for 2 Kanal Plot in Gulberg?,faq
how much is the token money for emaar commercial shop?,faq
Can I get a 2 Kanal Luxury Villa on an installment plan in Johar Town,faq
Interested in 2 BHK Sector in Blue Area. Please call back on +92 321 9876543.,lead_capture
i want to visit bahria town this weekend to see 4 bhk penthouse luxury villas.,lead_capture
Urgent complaint regarding the transfer fee for DHA House!,escalation
"my payment of lakhs lakhs for transfer fee is stuck, fix it now!",escalation
"i am reporting this to the society head, the registry process is a scam!",escalation
Please WhatsApp me the details of 3 BHK Plot in Gulberg at 0312 7654321.,lead_capture
"my payment of crores crores for down paymnt is stuck, fix it now!",escalation
I want a call back regarding 4 BHK penthouse House in Bahria Town.,lead_capture
can you give me the dimensions of a studio luxury villa in giga mall?,faq
I've emailed three times about my 2 Kanal House in DHA and no response!,escalation
Is Giga Mall Phase currently in possession?,faq
What is the security situation in Gulberg Commercial Shop?,faq
Send me the current prce list for 3 BHK Plot File in Giga Mall.,lead_capture
What are teh Down Payment for a Studio Luxury Villa in Bahria Town?,faq
i want to cancel my booking for 2 kanal sector in johar town because of this bad service!,escalation
"i want to book a 2 bhk commercial shop in giga mall, call me at 0312 7654321.",lead_capture
"My payment of PKR PKR for Registry is stuck, fix it now!",escalation
Why is my Token Money delayed for Bahria Town Apartment?,escalation
interested in studio apartment in clifton. please call back on +92 321 9876543.,lead_capture
WHAT IS THE SECURITY SITUATION IN EMAAR HOUSE?,faq
urgent: my down payment failed but money was deducted for giga mall commercial shop!,escalation
"My payment of PKR PKR for Transfer fee is stuck, fix it now!",escalation
is there an available 2 bhk plot file in giga mall for immediate sale,lead_capture
i want to visit blue area this weekend to see 5 marla plot files.,lead_capture
Can I get a 2 Kanal Plot File on an installment plan in Emaar?,faq
Urgent: my Registry failed but money was deducted for Blue Area Plot File!,escalation
I want to lodge a formal complaint against the agent for DHA Apartment!,escalation
why is my registry delayed for gulberg plot file,escalation
"i'm very interested in the 4 bhk penthouse sector in clifton, how do i proceed?",lead_capture
"my payment of pkr pkr for transfer fee is stuck, fix it now!",escalation
Is Clifton Apartment currently in possession?,faq
Interested in 10 Marla Plot File in Giga Mall. Please call back on 0345 5566778.,lead_capture
I want to invest in Bahria Town Phase. Do you have any 5 Marla options?,lead_capture
Can you share the broker number for Emaar Apartment?,lead_capture
Are there any Studio Commercial Shop available in Gulberg?,faq
I paid the Installment Plan for Emaar Plot File and it's still not updated!,escalation
can i get a 2 kanal house on an installment plan in clifton?,faq
I want to lodge a formal complaint against the agent for Johar Town Luxury Villa!,escalation
Can you share the broker number for Bahria Town Apartment?,lead_capture
i want to lodge a formal complaint against the agent for gulberg phase!,escalation
I am interested in buying a 10 Marla Plot in Blue Area.,lead_capture
I've emailed three times about my 2 Kanal Commercial Shop in Clifton and no response!,escalation
how many 2 kanal sector are left in gulberg sector?,faq
I paid the Registry for Giga Mall Plot and it's still not updated!,escalation
Can you give me the dimensions of a 10 Marla Plot File in Bahria Town?,faq
